Equipment Code,Elevator or Escalator,Asset Class,Station MRN,Station Name,Station Description,Station Complex MRN,Station Complex Description,Subway Line,Borough,X Coordinate,Y Coordinate,Original Installation Date,Latest Installation Date,Service Status Code,Service Status,Service Life,NYCT Owned,Maintained By,Installer,Revenue Machine,ADA Compliant,Street Access,Exposed to Weather,Escalator Rise,Elevator Rise,Elevator Capacity,Elevator Loading Class,Elevator Number of Landings,Escalator Number of Steps,Escalator Step Width,Elevator Direction Serviced,Elevator Order,Elevator Mezzanine 1 Access,Elevator Mezzanine 2 Access,Elevator Platform Access,Notes,Redundant Elevator,Redundant Elevator Street Access,Redundant Elevator Mezzanine Access,Redundant Elevator Access Between Mezzanines,Redundant Elevator Platform Access,Alternative Route,Georeference
ES263X,Escalator,Escalator,162,50ST-8AV-C/E,50 St - Station,162,,IND-A-8AV/FULTONST,Manhattan,40.762215,-73.986404,,12/29/2011,IFIS,Installed-Functioning-In Service,22,NO,Private Contractor,AM,YES,,NO,NO,,,,,,,,,,,,,downtown C platform to 50 St & 8th Ave (SW corner),,,,,,,POINT (-73.986404 40.762215)
EL185,Elevator,Elevator Hydraulic,295,231ST-BWY7-1,231 St - Station,295,,IRT-BB-BROADWAY/7AV,Bronx,40.878784,-73.90464,12/28/2006,12/28/2006,IFIS,Installed-Functioning-In Service,17,YES,NYCT,CANTON,YES,YES,YES,YES,,,2000,Passenger,,,,Northbound,1,-,-,+,231 St & Broadway (SE corner) to Van Cortlandt Park-bound platform,-,,,,,If you are on the street:  Take a Riverdale-bound Bx9 bus (Broadway and 231 St) to 238 St or 242 St. If you are on the platform:  Contact a station agent to re-enter through the faregate and take an uptown 1 to 242  St. Then remain on the train or wait at the platform for a downtown 1.,POINT (-73.90464 40.878784)
ES413,Escalator,Escalator,222,ROOSEVELTISLAND-63S-F,Roosevelt Island - Station,222,,IND-T-63ST,Manhattan,40.759094,-73.95317,07/12/1996,10/08/2023,IFIS,Installed-Functioning-In Service,22,YES,NYCT,OK,YES,,YES,NO,38',,,,,136,40,,,,,,intermediate mezzanine to W Rd exit,,,,,,,POINT (-73.95317 40.759094)
EL162,Elevator,Elevator Hydraulic,,,,,,,Bronx,40.842686,-73.87342,09/01/1982,10/01/1999,IFIS,Installed-Functioning-In Service,17,YES,NYCT,CEMCO,NO,NO,NO,NO,,,10000,Freight,,,,,,,,,Freight Elevator At Motor Room El162,,,,,,,POINT (-73.87342 40.842686)
ES373,Escalator,Escalator,330,SOUTHFERRY-7AV-1,South Ferry - Station,635,South Ferry (1)/Whitehall St (R),IRT-V-7AV,Manhattan,40.702023,-74.01338,03/16/2009,06/27/2017,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,YES,YES,10236 mm (33' 7in),,,,,128,"40in (NOMINAL), 996 mm",,,,,,1 mezzanine to Peter Minuit Plaza,,,,,,,POINT (-74.01338 40.702023)
EL743,Elevator,Elevator Hydraulic,105,CHAMBERSST-JAM-J/Z,Chambers St - Station,622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",BMT-J-JAMAICA,Manhattan,40.71324,-74.0034,09/01/2020,09/01/2020,IFIS,Installed-Functioning-In Service,17,YES,NYCT,AM,YES,YES,NO,NO,,,,,,,,Southbound,4,+,-,+,mezzanine to Broad St-bound J/Z platform,-,,,,,"If you are on the mezzanine: Proceed down the passageway and use elevator to take a downtown 4 or 5 to Fulton St station. If you are on the platform: Take a Broad St-bound J or Z train to Fulton St station, then either: Use elevators to transfer to a Jamaica-bound J or Z to Chambers St. Or, use elevators to transfer to an uptown 4 or 5 to Brooklyn Bridge-City Hall.",POINT (-74.0034 40.71324)
ES340,Escalator,Escalator,414,BOWLINGGREEN-LEX-4/5,Bowling Green - Station,414,,IRT-M-LEXINGTONAV,Manhattan,40.704838,-74.01387,04/01/1977,03/19/2005,IFIS,Installed-Functioning-In Service,22,YES,NYCT,FUJITEC,YES,,NO,NO,23',,,,,92,40,,,,,,lower mezzanine to uptown 4/5 platform,,,,,,,POINT (-74.01387 40.704838)
EL786,Elevator,Elevator Traction,123,GRANDST-CNR-L,Grand St - Station,123,,BMT-Q-14ST/CANARSIE,Brooklyn,40.711926,-73.94067,08/25/2023,08/25/2023,IFIS,Installed-Functioning-In Service,22,YES,Third-Party Contractor,,YES,YES,YES,YES,,,,,2,,,Southbound,1,+,-,+,Street (NW corner of Bushwick Ave and Grand St) to Canarsie-Rockaway Pkwy-bound platform,-,,,,,"If you’re on the street:  Cross Bushwick Ave and use EL785 to take a Manhattan-bound L train to Bedford Av. Then, transfer across the platform for a Canarsie-bound L train.   Or,   Take a Canarsie-bound B60 (Montrose Av & Bushwick Av) to Wilson Av & Gates Av. Then, either:  Transfer to a Ridgewood-bound B52 bus to Palmetto St & Wyckoff Av,   Or, travel three blocks north to Myrtle-Wyckoff station.  If you’re on the platform:   Take a Canarsie-bound L to Myrtle-Wyckoff station. Then, transfer across the platform to a Manhattan-bound L train to Grand St.",POINT (-73.94067 40.711926)
ES336,Escalator,Escalator,414,BOWLINGGREEN-LEX-4/5,Bowling Green - Station,414,,IRT-M-LEXINGTONAV,Manhattan,40.704613,-74.013824,04/01/1977,04/12/2003,IFIS,Installed-Functioning-In Service,22,YES,NYCT,FUJITEC,YES,,NO,NO,24',,,,,90,40,,,,,,lower mezzanine to uptown 4/5 mezzanine for Bowling Green Park exit,,,,,,,POINT (-74.013824 40.704613)
ES290,Escalator,Escalator,477,72ST-2AV-Q,72 St - Station,477,,IND-S-2AV,Manhattan,40.76722,-73.95921,01/01/2017,01/01/2017,IFIS,Installed-Functioning-In Service,22,YES,NYCT,SCHINDLER,YES,,NO,NO,20828 mm (68'4in),,,,,0,,,,,,,69 St & 2nd Ave (NE corner) to upper mezzanine,,,,,,,POINT (-73.95921 40.76722)
EL510,Elevator,Elevator Hydraulic,215,TREMONTAV-CON-B/D,Tremont Av - Station,215,,IND-C-CONCOURSE,Bronx,40.849747,-73.90545,02/27/2024,02/27/2024,IFIS,Installed-Functioning-In Service,17,YES,NYCT,MAE,YES,YES,NO,NO,,,,Passenger,2,,,Southbound,2,+,-,+,Mezzanine to Manhattan-bound platform.,-,,,,,"If you are on the mezzanine: use EL511 and take a Bedford Prk Blvd-bound B or Norwood-205 St-bound D to Kingsbridge Rd. Then, use elevators in the station to transfer to a Manhattan-bound B or D.",POINT (-73.90545 40.849747)
EL775,Elevator,Elevator Hydraulic,415,BOROUGHHALL-EPK-4/5,Borough Hall - Station,620,"Court St (R)/Borough Hall (2,3,4,5)",IRT-M-LEXINGTONAV,Brooklyn,40.692406,-73.99015,12/05/2025,12/05/2025,IFIS,Installed-Functioning-In Service,,YES,Third-Party Contractor,MODERN ELEVATOR,YES,YES,NO,NO,,15'-8in,3000,Passenger,2,,,Southbound,2,+,-,+,Mezzanine to Flatbush Av-Brooklyn College-bound 5 and Utica Av-bound 4 platform.,-,,,,,If you are on the mezzanine: Take a Manhattan-bound 4 or 5 to Bowling Green and use elevators to transfer to a Brooklyn-bound 4 or 5. If you are on the platform:  Take a Crown Heights-Utica Av-bound 4 or a Flatbush Av-Brooklyn College-bound 5 to Atlantic Av. Transfer cross-platform to a Manhattan-bound 4 or 5 to Borough Hall.,POINT (-73.99015 40.692406)
EL1106,Elevator,Elevator Hydraulic,168,SPRINGST-8AV-C/E,Spring St - Station,168,,IND-A-8AV/FULTONST,Manhattan,40.768143,-73.96387,12/03/2025,12/03/2025,IFIS,Installed-Functioning-In Service,17,YES,NYCT,MONGRAIN VERTICAL TRANSPORT,YES,YES,YES,YES,,20’  6 13/16”,3000,Passenger,2,,,Southbound,1,+,-,+,Street to downtown C/E platform.,-,,,,,"If you are on the street:  Travel north along 6 Av to the W 4 – Washington Sq A/B/C/D/E/F/M station. Or, travel west to Hudson St and then north to Charlton St. Take a Lincoln Center-bound M20 bus to 14 St for the 14 St A/C/E/L station. If you are on the platform: Take a World Trade Center-bound E to World Trade Center. Exit the station and travel to the northeast corner of Church St and Vesey St. Take a 44 St 6 Av-bound M55 bus to Spring St.",POINT (-73.96387 40.768143)
EL150,Elevator,Elevator Traction,,,,,,,Manhattan,40.866722,-73.916016,09/28/2002,09/28/2002,IFIS,Installed-Functioning-In Service,22,YES,NYCT,MCE,NO,NO,NO,NO,,,6000,Passenger Yard,,,,,,,,,Passenger Elevator At 207Th Street Yard,,,,,,,POINT (-73.916016 40.866722)
ES291,Escalator,Escalator,477,72ST-2AV-Q,72 St - Station,477,,IND-S-2AV,Manhattan,40.767166,-73.95946,01/01/2017,01/01/2017,IFIS,Installed-Functioning-In Service,22,YES,NYCT,SCHINDLER,YES,,YES,YES,3783 mm (12' 4 23/25in),,,,,0,,,,,,,upper mezzanine to 70 St & 2nd Ave (SE corner),,,,,,,POINT (-73.95946 40.767166)
EL489X,Elevator,Elevator Hydraulic,196,AQUEDUCT-RACETRACK-RKY-A,Aqueduct-Racetrack - Station,196,,IND-F-ROCKAWAY,Queens,40.672096,-73.83592,10/28/2011,10/28/2011,IFIS,Installed-Functioning-In Service,17,NO,Private Contractor,,YES,YES,NO,NO,,,,Passenger,,,,Northbound,1,-,-,+,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan-bound platform,-,,,,,"If you are on the street: Take an Old Howard Beach-bound or Hamilton Beach-bound Q11 (Eckfor Av and Raleigh St) to 101 St and 159 Av.  Proceed east on 159th Av two blocks to Howard Beach A Station. Or, use ramp from casino to access platform. If you are on the platform: Take a Manhattan-bound A train to Euclid Av.  Use elevators to exit station. Take a Jamiaca-bound Q8 (Pitkin Av and Euclid Av) to 101 Av and Woodhaven Blvd.  Transfer to an Old Howard Beach-bound or Hamilon Beach-bound Q11 (Woodhaven Blvd and 101 Ave) to Eckford Av and Raleigh St.  Or, use ramp to casino to exit station.",POINT (-73.83592 40.672096)
EL463,Elevator,Elevator Traction,195,OZONEPARK-LEFFERTSBLVD-LIB-A,Ozone Park-Lefferts Blvd - Station,195,,IND-K-LIBERTYAV,Queens,40.68595,-73.8258,01/17/2018,01/17/2018,IFIS,Installed-Functioning-In Service,22,YES,NYCT,HOLLISTER-WHITNEY,YES,YES,NO,YES,,,,,,,,Both,1,+,-,+,mezzanine to platform for service in both directions,-,,,,,If you are on the mezzanine:  Use the nearby elevator to exit the station. Then take a Kew Gardens-bound Q10 bus (Lefferts Blvd and Liberty Av) to 101 Av and transfer to a Spring Creek-bound Q8 bus (101 Av and Lefferts Blvd) to Euclid Av A/C station.  If you are on the platform:  Take a Manhattan-bound A to Euclid Av and use elevators to exit the station. Then take a Jamaica-bound Q8 bus (Pitkin Av and Euclid Av) to Lefferts Blvd and transfer to a JFK Airport-bound Q10 bus (Lefferts Blvd and 101 Av) to Liberty Av.,POINT (-73.8258 40.68595)
ES119,Escalator,Escalator,146,181ST-8AV-A,181 St - Station,146,,IND-A-8AV/FULTONST,Manhattan,40.851116,-73.938095,03/28/1997,03/31/2023,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,NO,NO,15824 mm (51'-11in),,,,,112,800 mm (32in NOMINAL),,,,,,lower mezzanine to upper mezzanine for 181 St & Fort Washington Ave exit,,,,,,,POINT (-73.938095 40.851116)
EL745,Elevator,Elevator Hydraulic,038,86ST-4AV-R,86 St - Station,38,,BMT-F-4AV,Brooklyn,40.622574,-74.02835,07/29/2020,07/29/2020,IFIS,Installed-Functioning-In Service,17,YES,NYCT,HUDSON ELEVATOR,YES,YES,YES,YES,,13’-3”,2500,Passenger,2,,,Both,1,-,+,-,4th Ave and 86 St (SE corner) to mezzanine for service in both directions,-,,,,,"If you are on the street: Take a Downtown Brooklyn-bound B37 (3 Av and 86 St) to 60 St and proceed towards 4 Av for 59 St N/R station. Then use elevators to enter station for Manhattan-bound R service. If you are on the mezzanine: See a station agent to re-enter through the faregate and use elevator to take a Manhattan-bound R to 59 St. Then, use elevators to exit the station and take a Bay Ridge-bound B37 (3 Av and 61 St) to 86 St.",POINT (-74.02835 40.622574)
ES253X,Escalator,Escalator,275,LEXINGTONAV/53ST-QBL-E/M,Lexington Av/53 St - Station,612,"Lexington Av-53 St (E,M)/51 St (6)",IND-D-QUEENSBLVD,Manhattan,40.757572,-73.97133,01/02/1900,06/06/2011,IFIS,Installed-Functioning-In Service,22,NO,Private Contractor,AM,YES,,NO,NO,,,,,,,,,,,,,Downtown 6 underpass to mezzanine for E/F service and 52 St & Lexington Av exit.,,,,,,,POINT (-73.97133 40.757572)
EL108,Elevator,Elevator Traction,301,181ST-BWY7-1,181 St - Station,301,,IRT-BB-BROADWAY/7AV,Manhattan,40.849457,-73.93359,06/01/1963,11/30/2021,IFIS,Installed-Functioning-In Service,22,YES,NYCT,MCE,YES,NO,NO,NO,,103'-5in,10000,Passenger,3,,,Both,2,+,+,-,mezzanine to bridge for service in both directions,+,,"107, 109, 110","107, 109, 110",,Use an adjacent elevator.,POINT (-73.93359 40.849457)
EL498,Elevator,Elevator Hydraulic,209,FARROCKAWAY-MOTTAV-RKY-A,Far Rockaway-Mott Av - Station,209,,IND-F-ROCKAWAY,Queens,40.604614,-73.75425,03/21/2012,03/21/2012,IFIS,Installed-Functioning-In Service,17,YES,NYCT,CEMCO,YES,YES,YES,NO,,,2000,Passenger,,,,Both,2,-,-,+,Beach 22nd & Mott Ave to platform for Manhattan-bound service,+,497,,,497,Use an adjacent elevator.,POINT (-73.75425 40.604614)
EL395,Elevator,Elevator Hydraulic,098,FLUSHINGAV-JAM-J/M,Flushing Av - Station,98,,BMT-J-JAMAICA,Brooklyn,40.70074,-73.941666,03/04/2003,10/27/2023,IFIS,Installed-Functioning-In Service,17,YES,Third-Party Contractor,,YES,YES,NO,YES,,,,Passenger,,,,Southbound,2,+,-,+,mezzanine to Manhattan bound-platform,-,,,,,"If you are on the mezzanine:   Use the nearby elevator to exit the station and take a Williamsburg-bound B46 bus (Broadway and Flushing Av) to Marcy Av J/M/Z station (Broadway and Marcy Av).  If you are on the platform:  Take a Manhattan-bound J or M to Marcy Av. Use the elevator to exit to street, then either:  Cross Broadway to re-enter the station and use the elevator to take a Queens-bound J or M to Flushing Av.  Or, take a Kings Plaza-bound B46 bus (Broadway and Marcy Av) to Flushing Av.",POINT (-73.941666 40.70074)
ES446,Escalator,Escalator,278,JAMAICACENTER-PARSONS/ARCHER-QBL-E/J/Z,Jamaica Center-Parsons/Archer - Station,278,,IND-D-QUEENS/ARCHERAV,Queens,40.70236,-73.800316,12/01/1988,05/20/2009,IFIS,Installed-Functioning-In Service,22,YES,NYCT,KONE,YES,,NO,NO,29',,,,,107,40in,,,,,,mezzanine (Parsons Blvd & Archer Ave) to J/Z platform for Brooklyn-bound service,,,,,,,POINT (-73.800316 40.70236)
